gene_id,gene_length,gene_gccount,gene_exon_nonconstit_percent,exon_count,mean_exon_length,median_exon_length,sd_exon_length,mean_exon_gccount,median_exon_gccount,sd_exon_gccount,transcript_count,mean_trans_exon_nonconstit_percent,median_trans_exon_nonconstit_percent,sd_trans_exon_nonconstit_percent,mean_distance_between_exons,median_distance_between_exons,sd_distance_between_exons,mean_exons_per_trans,median_exons_per_trans,sd_exons_per_trans,mean_trans_length,median_trans_length,sd_trans_length,mean_trans_gccount,median_trans_gccount,sd_trans_gccount,mean_5utr_length,median_5utr_length,sd_5utr_length,mean_5utr_gccount,median_5utr_gccount,sd_5utr_gccount,mean_3utr_length,median_3utr_length,sd_3utr_length,mean_3utr_gccount,median_3utr_gccount,sd_3utr_gccount,error_level
ENSG00000149294,317190,132285,100.0,97,299.1752577319587,170.0,540.3159378685556,145.44329896907215,85.0,242.51043659123224,30,100.0,100.0,0.0,16390.556737588646,1833.0,49932.237023840134,10.4,8.5,7.384046176117434,2153.4666666666667,1341.5,1942.0002793659612,1098.1666666666665,683.5,959.145024571842,112.6,0.0,142.69272508822394,66.3,0.0,84.25787592369282,676.6,74.0,1103.0781883688808,293.3666666666666,31.5,480.2784740582052,high
ENSG00000197375,25863,12497,100.0,36,548.111111111111,163.5,1074.1182903141075,266.3611111111111,82.5,487.1712021032546,9,100.0,100.0,0.0,2189.68,1526.0,2671.9419402833028,6.555555555555555,6.0,2.7436796055257213,2565.777777777778,998.0,3163.912679649115,1261.111111111111,523.0,1463.1707388787922,32.66666666666667,0.0,74.63745708422815,25.11111111111111,0.0,56.673283927359556,335.66666666666663,0.0,486.1167555227859,156.88888888888889,0.0,213.84015317781436,high
ENSG00000159214,5170,2996,100.0,43,226.09302325581396,139.0,236.35866752050978,142.18604651162792,92.0,141.18263346155805,11,100.0,100.0,0.0,548.0833333333333,178.5,569.0568852940496,6.454545454545454,6.0,1.572490786213793,1112.2727272727273,860.0,627.7241577172398,697.6363636363636,566.0,369.3313614431552,79.27272727272728,95.0,73.5800121080323,56.27272727272727,72.0,51.084422105160215,437.18181818181813,316.0,657.083528660066,263.6363636363637,186.0,384.6066231169902,high
ENSG00000171863,5715,2558,100.0,27,358.4444444444445,124.0,956.6863216063657,165.33333333333334,63.0,403.6693239235837,9,100.0,100.0,0.0,812.75,599.0,760.8086064933058,5.0,6.0,2.1213203435596424,1275.2222222222222,786.0,1565.1033334717692,591.3333333333333,385.0,673.3567033898155,50.33333333333333,0.0,67.51666460956139,30.11111111111111,0.0,40.340564090145186,35.0,0.0,71.90097356781756,12.444444444444446,0.0,31.10108965579467,high
ENSG00000196329,27781,12166,100.0,18,602.8333333333333,236.5,873.2657603704008,295.1111111111111,120.0,396.32026397092903,7,100.0,100.0,0.0,3499.769230769231,2309.0,3888.559440929382,2.857142857142857,3.0,0.8997354108424372,1564.1428571428573,653.0,1565.3724187949044,765.7142857142857,340.0,709.6486722986509,99.28571428571429,0.0,169.93598234405243,57.57142857142858,0.0,98.3426952766992,142.85714285714286,0.0,377.9644730092272,68.85714285714285,0.0,182.17887599044752,high
ENSG00000159176,25927,13141,100.0,43,582.1162790697676,130.0,1260.35193893086,300.53488372093017,70.0,614.7136905691953,19,100.0,100.0,0.0,5381.797101449275,3701.0,4229.339371231669,4.631578947368421,5.0,1.4985372985307104,1721.578947368421,758.0,2089.4678832391082,913.263157894737,404.0,1031.0472476567622,80.10526315789474,0.0,122.75309217053109,54.78947368421053,0.0,85.39033184108038,211.52631578947367,0.0,396.49735440073704,116.36842105263159,0.0,217.75399231607818,high
ENSG00000177082,15063,7330,100.0,58,416.13793103448273,165.0,754.0524773091029,214.58620689655172,93.5,366.96488834777745,21,100.0,100.0,0.0,1909.5625,985.0,1594.1519363136726,5.571428571428571,6.0,2.014235055087379,1492.4285714285713,997.0,1380.5712068353653,761.0952380952381,539.0,688.1098680270402,2.9047619047619047,0.0,13.311291304395535,2.142857142857143,0.0,9.819805060619657,272.3809523809524,0.0,915.8245179176238,133.95238095238096,0.0,429.2729290545208,high
ENSG00000213213,11392,6741,100.0,46,178.9565217391304,122.5,164.5960653670054,107.65217391304347,72.5,106.27348731588793,8,100.0,100.0,0.0,716.7796610169491,490.0,781.8118449847788,8.375,9.0,4.172614801981401,1322.625,1496.5,655.3999732987484,783.625,883.0,396.09123678408093,10.375,0.0,19.52242300535464,7.0,0.0,13.136644494368742,101.5,0.0,274.7736730994646,60.125,0.0,160.96711066017716,high
ENSG00000237765,23904,9768,100.0,48,390.5,161.0,741.4791427605609,150.39583333333331,92.0,243.96744983299354,23,100.0,100.0,0.0,2688.5918367346944,1403.0,2817.619695168005,3.130434782608696,3.0,0.7570485649179112,1041.9565217391305,654.0,985.9802449736308,400.78260869565213,268.0,328.2789773295295,117.69565217391307,0.0,311.2279834904149,46.739130434782595,0.0,123.79683407293668,71.21739130434783,0.0,310.42419020690494,23.739130434782602,0.0,108.31654678903126,high
ENSG00000114857,48128,18068,100.0,77,542.8181818181818,133.0,932.6173233273843,210.81818181818184,63.0,351.35376261992275,19,100.0,100.0,0.0,2652.2110091743116,878.0,4319.30534339809,6.7368421052631575,5.0,5.635621875013321,2649.4736842105262,876.0,2838.636925795764,1048.0,341.0,1127.814651832866,88.68421052631578,0.0,248.7180582800933,48.36842105263158,0.0,117.32396294321872,667.3684210526316,0.0,1736.8269027333952,265.8421052631579,0.0,702.4728751709044,high
ENSG00000127074,24169,8634,100.0,15,599.6,167.0,929.8643372633912,200.13333333333335,68.0,324.2291664563081,4,100.0,100.0,0.0,4596.64705882353,3527.0,3790.840703939835,5.25,6.0,2.217355782608345,2401.75,1511.5,1811.6403938604003,808.25,482.5,660.5307840416423,135.75,127.5,157.32847803242743,48.0,45.0,55.641710972974224,380.0,368.5,439.18788690035615,98.75,96.0,114.11507350039258,high
ENSG00000213930,12903,6472,100.0,92,232.73913043478265,134.0,255.25014103020365,132.5217391304348,85.0,139.99014708349534,29,100.0,100.0,0.0,309.87218045112775,170.0,723.835369838543,5.586206896551724,5.0,2.427774427320368,1048.7931034482758,890.0,503.4796335298086,601.3793103448276,526.0,269.4477704216936,19.10344827586207,0.0,60.72146291973954,12.379310344827585,0.0,39.622697132815404,120.48275862068965,0.0,242.39174618928277,66.10344827586206,0.0,134.89740673870486,high
ENSG00000154438,64902,22889,100.0,37,176.86486486486484,114.0,225.80881320293972,66.8918918918919,42.0,73.05887419813625,6,100.0,100.0,0.0,5993.732142857142,1874.0,9714.275994153368,10.333333333333334,11.5,3.6696957185394363,1993.3333333333333,2309.0,1041.3634652063931,722.8333333333334,835.5,358.20687691146674,36.33333333333333,23.5,44.54510822376198,19.166666666666668,16.5,21.43284084452331,217.16666666666669,0.0,379.45983538006584,67.66666666666666,0.0,125.81361876468965,high
ENSG00000204348,2483,1458,100.0,47,363.2127659574468,233.0,348.3710500732512,215.55319148936172,140.0,209.86484351587046,15,100.0,100.0,0.0,686.4561403508771,533.0,432.1368446525541,4.8,5.0,1.8593393604027362,1416.6666666666667,1474.0,438.98139672048364,833.7333333333333,882.0,258.3678072235855,89.93333333333332,0.0,157.51846452612043,55.53333333333334,0.0,98.25540091783154,45.4,0.0,116.38163821791527,22.333333333333336,0.0,63.751377202677716,high
ENSG00000054690,56312,27039,100.0,85,307.1176470588236,142.0,530.3561115345206,152.24705882352941,74.0,232.96627110676204,16,100.0,100.0,0.0,1012.7685185185187,728.0,1618.3650374725946,7.75,4.0,8.465616732800196,1950.0625,692.5,1974.1181480600394,991.0,362.5,1002.1144312568966,8.25,0.0,33.0,6.0,0.0,24.0,284.9375,0.0,652.6598367449923,129.1875,0.0,289.50077000473306,high
ENSG00000117481,24976,11825,100.0,31,504.3548387096773,283.0,724.2293627660184,256.7741935483871,160.0,339.9331022105594,9,100.0,100.0,0.0,3626.1176470588234,3120.0,2782.8380299419628,4.777777777777778,5.0,1.6414763002993507,1953.5555555555557,2087.0,1389.235861104146,1003.7777777777778,1088.0,668.3307148743386,162.33333333333331,8.0,300.99875415024565,94.77777777777777,5.0,174.52061323650122,1047.3333333333335,537.0,1253.391698552372,508.0,295.0,569.1772571001059,high
ENSG00000185189,7381,4510,100.0,52,349.0384615384616,103.0,618.4525902078846,203.0,69.0,332.74762266942923,10,100.0,100.0,0.0,532.8787878787878,260.0,553.5161497326364,10.9,11.5,5.546770832355224,2303.9,2164.0,1166.6799475434557,1358.7,1300.5,632.082281915188,48.0,0.0,111.63432367431722,34.20000000000001,0.0,77.79860038729632,236.10000000000002,0.0,613.410221629865,128.8,0.0,325.2994517876311,high
ENSG00000011485,45988,23341,100.0,52,330.98076923076917,151.0,432.30315662827314,186.07692307692307,89.0,225.32624244735666,15,100.0,100.0,0.0,2176.6363636363635,926.0,4343.986090620271,6.133333333333334,5.0,4.015446366695678,1479.2,1235.0,1090.7885221251643,831.2666666666667,749.0,601.0888295022467,27.33333333333333,0.0,81.7886358388557,17.533333333333335,0.0,50.495921570341665,96.06666666666666,0.0,199.5854513258729,56.53333333333334,0.0,119.29906398068117,high
ENSG00000187889,100893,38828,100.0,47,171.0212765957447,90.0,232.7801247829957,67.85106382978724,29.0,91.05707209919746,5,100.0,100.0,0.0,5292.104166666666,2891.0,6573.962014142348,10.6,14.0,7.797435475847172,1709.6,1904.0,1049.0604367718763,681.4,660.0,466.17839932798256,16.2,0.0,36.2243012354966,9.4,0.0,21.019038988498025,173.4,0.0,387.73418729846355,51.2,0.0,114.48668044798924,high
ENSG00000140553,23914,12871,100.0,64,223.0625,153.0,199.52704992254473,130.75,89.0,113.66352460396794,15,100.0,100.0,0.0,922.9450549450551,307.0,1099.4945137818497,7.066666666666666,5.0,6.169819014093255,1403.6666666666667,855.0,1090.2305566560985,824.5333333333333,498.0,653.6130207947061,58.33333333333333,0.0,215.1051791455475,38.06666666666667,0.0,139.8716077932425,50.26666666666667,0.0,132.6533972784859,29.466666666666665,0.0,77.76233633566416,high
ENSG00000105971,221162,83741,100.0,47,224.23404255319147,135.0,389.5544396160912,97.87234042553193,59.0,142.79182430335985,15,100.0,100.0,0.0,23116.358024691355,5404.0,40928.67162280881,6.4,6.0,3.6606010435446255,1126.3333333333333,971.0,711.1432110810499,490.06666666666666,405.0,293.8406921802227,29.06666666666667,0.0,100.98052617542979,22.93333333333333,0.0,79.34325668229397,243.33333333333334,0.0,644.8412503052499,84.93333333333332,0.0,216.46658160644785,high
ENSG00000101294,63496,31644,100.0,73,242.10958904109583,117.0,494.76033933511235,131.83561643835614,60.0,250.17410680134498,25,100.0,100.0,0.0,4149.10447761194,3994.0,3769.887298665765,6.36,6.0,3.426368339802363,1051.6,757.0,913.5176973290298,570.44,423.0,486.978017984385,19.919999999999998,0.0,43.87189685132538,13.320000000000004,0.0,29.18721181156797,277.68,0.0,812.0562234229842,144.64000000000004,0.0,409.71198013563964,high
ENSG00000157379,9236,4437,100.0,36,303.1944444444445,177.5,346.73982172264834,159.77777777777774,108.0,158.69199477714434,11,100.0,100.0,0.0,1379.2272727272727,780.0,1229.9992222277058,5.0,5.0,2.898275349237888,1226.4545454545455,1181.0,699.9937662060089,652.4545454545455,620.0,346.1893596390171,66.63636363636364,0.0,116.281789397371,41.0,0.0,71.54718722633336,137.45454545454544,0.0,301.89977265190635,70.0,0.0,160.45123869886453,high
ENSG00000203965,49322,17335,100.0,34,247.5,153.5,461.83003891960607,88.6764705882353,57.0,155.384512427453,6,100.0,100.0,0.0,3771.6551724137926,2698.0,3059.79065899079,5.833333333333334,4.5,4.355073669487885,1427.3333333333333,861.0,1370.591502478644,512.0,354.5,451.0206203711755,41.0,0.0,100.42907945411031,22.333333333333332,0.0,54.705270922157645,29.5,0.0,72.25994741210376,6.166666666666667,0.0,15.10518674716293,high
ENSG00000163541,36523,14336,100.0,33,207.69696969696966,152.0,259.92937560620254,90.72727272727272,63.0,103.52363037227076,9,100.0,100.0,0.0,4546.5161290322585,3406.0,3281.622371845647,4.444444444444445,4.0,2.242270674512285,873.4444444444445,717.0,477.5039557718635,383.77777777777777,326.0,201.7212047466613,23.444444444444443,0.0,70.33333333333333,12.888888888888891,0.0,38.66666666666667,52.77777777777778,0.0,104.97830463693174,23.0,0.0,46.47042069962354,high
ENSG00000168676,37336,17714,100.0,55,265.4727272727273,161.0,349.28688487563903,140.9090909090909,92.0,183.45968098046652,11,100.0,100.0,0.0,3996.1408450704225,1553.0,5132.3283000875235,7.454545454545455,4.0,6.234799697883427,1949.2727272727273,702.0,1865.4460641309945,1031.8181818181818,372.0,986.7107801358834,34.727272727272734,0.0,65.81806880954639,20.636363636363633,0.0,37.073636798330774,77.9090909090909,0.0,169.67996613946772,38.0,0.0,85.8079250419214,high
ENSG00000166295,19861,8631,100.0,13,698.3076923076923,169.0,1004.519900633746,304.84615384615387,99.0,418.03146734702597,5,100.0,100.0,0.0,5800.307692307692,6310.0,3433.277549335217,3.6,3.0,0.8944271909999159,2484.8,3100.0,1177.9960526249654,1081.8,1350.0,526.7235517802484,142.0,100.0,203.2043306625132,82.8,67.0,112.93670793856177,1645.6,2742.0,1502.2206229445794,687.6,1146.0,627.6900509009204,high
ENSG00000089006,27384,11537,100.0,62,282.62903225806457,111.5,527.6955851802439,133.2741935483871,58.0,224.2175589674881,19,100.0,100.0,0.0,2169.7961165048546,1479.0,2841.294786865158,6.421052631578948,6.0,4.4760571622018235,1318.5263157894738,845.0,952.6084871680293,599.1578947368421,432.0,374.1772104168314,102.36842105263159,0.0,149.35684730288503,75.47368421052633,0.0,110.29725916865277,159.4736842105263,0.0,254.16822260093204,66.89473684210526,0.0,100.38475688671406,high
ENSG00000142920,39427,18107,100.0,55,356.0909090909091,172.0,574.1353006342176,201.30909090909094,94.0,308.60875823049105,19,100.0,100.0,0.0,3835.317307692307,1198.0,5473.468360064718,6.473684210526316,6.0,2.8745709061939735,1601.1052631578948,879.0,1486.4751705792255,909.6842105263158,541.0,802.9208520999078,47.63157894736842,0.0,149.55237303600953,31.315789473684205,0.0,97.84457779309375,29.47368421052632,0.0,90.93609992190035,16.473684210526315,0.0,50.243151463715414,high
ENSG00000197070,9707,5906,100.0,40,230.425,141.0,278.5254108464423,147.25,87.5,172.76985581091128,12,100.0,100.0,0.0,1305.3200000000002,194.0,2541.4458719398294,5.166666666666667,5.0,1.7494587907710375,1003.0833333333333,830.0,745.0256198564076,632.75,514.5,470.2177686987169,10.416666666666668,0.0,19.25644323494362,9.083333333333332,0.0,16.833183317663376,59.0,0.0,149.17104276634927,36.75,0.0,92.12553194616375,high
ENSG00000103187,52484,26369,100.0,15,725.0,375.0,940.5570537870477,391.8666666666666,224.0,462.1984525329023,6,100.0,100.0,0.0,18911.88888888889,24603.0,11291.644803176865,2.5,2.0,0.8366600265340756,1812.5,1229.0,1805.947479856488,979.6666666666667,725.5,874.2138563684898,72.0,0.0,116.46973855899223,55.66666666666667,0.0,88.58141264772574,470.5,193.0,598.7272333876253,249.33333333333331,96.0,320.69653360562955,high
ENSG00000106258,31805,12871,100.0,56,259.0,155.0,315.9651879558886,111.83928571428572,68.0,139.86081091060294,15,100.0,100.0,0.0,2516.8349514563106,2005.0,1915.5968101765502,7.866666666666666,6.0,4.373077809027587,1645.6,1623.0,987.8401981812935,714.6,669.0,425.1506959722803,26.6,0.0,45.66930823086457,14.333333333333332,0.0,24.610295948376297,275.8666666666666,0.0,797.9984664026321,112.33333333333333,0.0,334.29812756765193,high
ENSG00000134548,11071,4262,100.0,21,292.76190476190476,132.0,453.54282099509686,119.85714285714286,64.0,151.05141035895218,7,100.0,100.0,0.0,1383.6818181818182,1212.0,859.0382987395258,4.142857142857143,4.0,1.0690449676496976,1340.5714285714287,1683.0,689.0502780743112,531.0,624.0,251.40670900621038,29.42857142857143,0.0,62.03992570073227,12.714285714285714,0.0,26.234292352531547,307.85714285714283,0.0,654.2783374506166,102.28571428571429,0.0,216.32284074635166,high
ENSG00000133812,515541,197529,100.0,96,254.59375,130.5,610.813755370653,109.16666666666667,58.5,252.87765573875794,15,100.0,100.0,0.0,10231.07638888889,3055.0,22352.120474518986,10.6,5.0,12.84412038916751,2332.9333333333334,993.0,2557.1724470222034,1008.8,448.0,1102.052708099105,9.2,0.0,35.63144678510823,7.0,0.0,27.110883423451916,246.0,0.0,612.9324129601426,94.46666666666665,0.0,235.59040323247055,high
ENSG00000198912,11169,5509,100.0,11,612.0909090909091,489.0,700.2420230956516,317.54545454545456,256.0,374.8237889025625,3,100.0,100.0,0.0,4218.555555555556,3300.0,2711.612348359879,4.0,4.0,1.0,2560.6666666666665,2517.0,917.2798555148441,1298.0,1240.0,518.4390031623778,33.0,0.0,57.15767664977295,26.0,0.0,45.033320996790806,278.33333333333337,0.0,482.08747477333753,116.33333333333334,0.0,201.4952439471794,high
ENSG00000187066,4397,2443,100.0,13,469.5384615384616,160.0,1103.115558723308,259.15384615384613,86.0,616.8416660907732,6,100.0,100.0,0.0,462.6666666666667,432.0,155.21356255173063,2.5,2.5,1.0488088481701516,1073.0,465.0,1498.9969979956597,591.6666666666667,247.5,840.593044621871,39.5,30.0,48.015622457696,21.833333333333336,18.0,25.348898726900675,23.333333333333336,0.0,37.07110285204187,11.166666666666666,0.0,18.11537100549328,high
ENSG00000122566,11603,4649,100.0,37,536.9189189189188,123.0,959.90567761104,211.37837837837841,66.0,389.4835149379347,8,100.0,100.0,0.0,1100.84375,654.0,1013.8367831251046,9.0,10.5,3.927922024247863,2994.0,2631.5,2060.9910930701,1214.125,1048.0,861.1043470036436,90.375,84.5,97.83212662515315,57.875,54.0,62.69754495079646,747.375,246.5,1095.2239089402156,254.0,79.5,375.2644781636394,high
ENSG00000169660,24328,13412,100.0,64,180.90625,100.0,178.600353609739,113.90625,60.0,114.3511326905818,15,100.0,100.0,0.0,1818.0454545454547,1009.0,1904.1045133894659,6.866666666666666,6.0,3.41983012666391,1087.4,862.0,549.3082402960498,683.3333333333334,555.0,368.49223032449925,92.86666666666666,0.0,151.83114054137656,59.73333333333333,0.0,104.30002511071241,259.93333333333334,208.0,268.7679473520039,164.4,136.0,174.6399561546964,low
